NUMERO DE ORDEM       @ANOMES@COD.NCM @DESCRICAO DO CODIGO NCM       @PAIS@PAIS DE ORIGEM      @PAIS@PAIS DE AQUISICAO   @UND.ESTAT.@UNIDADE DE MEDIDA   @UNIDADE COMERC.     @DESCRICAO DO PRODUTO                                                                                                                                                                                                                                      @QTDE ESTATISTICA   @PESO LIQUIDO       @VMLE DOLAR        @VL FRETE DOLAR    @VL SEGURO DOLAR   @VALOR UN.PROD.DOLAR  @QTD COMERCIAL. @TOT.UN.PROD.DOLAR    @UNIDADE DESEMBARQUE           @UNIDADE DESEMBARACO           @INCOTERM@NAT.INFORMACAO @SITUACAO DO DESPACHO               ,,,,,,,,,,,,,,,,,,,,,,,,,,
0000000934530002100001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**C/ CABOS E CONECTORES, (28BYJ48*200*XH-5), 14W, 12 VOLTS, 50/60HZ, 1.8GRAUS 3170020001 146095991001                                                                                            @          166,00000@           13,72206@            245,13@              5,06@              1,29@            1,4699900@       38,00000@           55,8596200@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000000934530002100002@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**C/ CABOS E CONECTORES, (28BYJ48*200*XH-5), 14W, 12 VOLTS, 50/60HZ, 1.8GRAUS 3170020001 146095991001                                                                                            @          166,00000@           13,72206@            245,13@              5,06@              1,29@            1,4699900@      128,00000@          188,1587200@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000000935270001800001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**(DEFLETOR VERTICAL), C/ CONECTOTORES, 14W,12V, 50/60HZ, 1.8GRAUS 230900268 1 460 95 9906 01                                                                                                    @         1110,00000@          155,77000@            913,13@             62,28@              4,90@            0,8174600@      304,00000@          248,5078400@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000000935270001800002@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**CONJ. MOTOR DE PASSO (DEFLETOR HORIZ. 2 MOTOR C/ ADAP. PLASTICO NO EIXO + CABO), MOTOR DE PASSO, 14W,12V, 50/60HZ, 1.8GRAUS 230900267 1 460 95 9908 01                                         @         1110,00000@          155,77000@            913,13@             62,28@              4,90@            0,8174600@      132,00000@          107,9047200@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000000935270001800003@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**CONJ. MOTOR DE PASSO (DEFLETOR HORIZ. 2 MOTOR C/ ADAP. PLASTICO NO EIXO + CABO), MOTOR DE PASSO, 14W,12V, 50/60HZ, 1.8GRAUS 230900267 1 460 95 9908 01                                         @         1110,00000@          155,77000@            913,13@             62,28@              4,90@            0,8174600@      608,00000@          497,0156800@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000000935270001800004@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**(DEFLETOR VERTICAL), C/ CONECTOTORES, 14W,12V, 50/60HZ, 1.8GRAUS 230900268 1 460 95 9906 01                                                                                                    @         1110,00000@          155,77000@            913,13@             62,28@              4,90@            0,8174600@       66,00000@           53,9523600@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000000935280001500001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@399@JAPAO               @11@UNIDADE             @PECAS               @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO.**SUFRAMA**MOTOR,DC BRUSHLESS EXPORTMOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO, COM ANGULO DE TRABALHO DE 1,8 GRAUS DO MOTOR DE PASSO, PARA UNIDADE EVAPORADORA DO CONDICIONADOR DE AR TIPO SPLIT SYSTE@         1800,00000@         1537,38000@          36407,44@           1031,99@             36,18@           20,1761067@     1800,00000@        36316,9920600@N/INFORMADO                   @PORTO DE MANAUS               @FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,
0000000868480000100001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@399@JAPAO               @249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @MATERIAL DE USO EXCLUSIVO EM PESQUISA CIENTÍFICA, SENDO: COD. OSMS20-85(Z)-M6 - ESTAGIO DE TRANSLAÇÃO CONJUNTO Z COM 85MM DE CURSO.                                                                                                                       @            2,00000@           20,00000@           4160,00@            308,25@              8,31@         1240,0000000@        1,00000@         1240,0000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000000868480000100002@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@399@JAPAO               @249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @MATERIAL DE USO EXCLUSIVO EM PESQUISA CIENTÍFICA, SENDO: COD. OSMS26-200(XY)-M6 - CONJUNTO ESTAGIO DE TRANSLACAO CONJUNTO XY 200MM DE CURSO.                                                                                                              @            2,00000@           20,00000@           4160,00@            308,25@              8,31@         2920,0000000@        1,00000@         2920,0000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000000521540002100001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**C/ CABOS E CONECTORES, (28BYJ48*200*XH-5), 14W, 12 VOLTS, 50/60HZ, 1.8GRAUS 146095991001 CASSETE - 24.000-Q/F 3170020001                                                                       @          340,00000@           28,17956@            463,07@             12,14@              2,50@            1,3310600@      220,00000@          292,8332000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000000521540002100002@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**C/ CABOS E CONECTORES, (28BYJ48*200*XH-5), 14W, 12 VOLTS, 50/60HZ, 1.8GRAUS 146095991001 CASSETE - 24.000-F 3170020001                                                                         @          340,00000@           28,17956@            463,07@             12,14@              2,50@            1,4095900@      120,00000@          169,1508000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000000520820001100001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @Motor Passo Classe E 12V DC 200 ohms / Potencia <(><<)>= 37.5w, Passo <(><<)>=1.8g MATERIAL: Elétrico CARACTERÍSTICA: Motor eletrico corrente contínua, síncrono, 12V, Potencia <(><<)>= 37.5w, Passo<(><<)>=1.8g FUNÇÃO: Direcionar a ventilação UTILIZAÇ@           50,00000@            1,80000@            115,09@              0,10@              0,05@            2,3000000@       50,00000@          115,0000000@N/INFORMADO                   @PORTO DE SANTOS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,
0000000849780002100001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**C/ CABOS E CONECTORES, (28BYJ48*200*XH-5), 14W, 12 VOLTS, 50/60HZ, 1.8GRAUS 3170020001 146095991001                                                                                            @          166,00000@           13,72210@            232,92@              5,21@              1,23@            1,3962800@       30,00000@           41,8884000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000000849780002100002@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**C/ CABOS E CONECTORES, (28BYJ48*200*XH-5), 14W, 12 VOLTS, 50/60HZ, 1.8GRAUS 3170020001 146095991001                                                                                            @          166,00000@           13,72210@            232,92@              5,21@              1,23@            1,3962800@      136,00000@          189,8940800@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000001680270000600001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @AX040273 - MOTOR PASSO INFERIOR A 1,8 DE ELEVACAO DA BANDEJA DE PAPEL MPC3503SP - SP-3605/18                                                                                                                                                              @            1,00000@            0,18000@             20,46@              2,69@              0,00@           20,4600000@        1,00000@           20,4600000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000000846450000200001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @G1271953 - MOTOR PASSO INFERIOR A 1,8 POLIGONAL - SP-3511-18                                                                                                                                                                                              @            1,00000@            0,14000@             38,19@              1,56@              0,00@           38,1900000@        1,00000@           38,1900000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000000978140001200001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@023@ALEMANHA            @023@ALEMANHA            @11@UNIDADE             @PECA                @PECAS DE REPOSICAO PARA MAQUINA DE COSTURA INDUSTRIAL SENDO: 9800 560006 - MOTOR DE PASSO DE MOVIMENTO DO EIXO PRINCIPAL.                                                                                                                                 @            2,00000@            0,42700@             65,13@              4,42@              0,00@           32,5656196@        2,00000@           65,1312392@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,
0000000943640000300001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@023@ALEMANHA            @275@FRANCA              @11@UNIDADE             @Peça                @ILS1F853S2167 MOTOR ELETRICO - (SAP IFS93MT6NM) MTRPASSO ILS1 CANOPEN . SENDO: MOTOR ELETRICO DE CORRENTE CONTINUA, DE POTENCIA NAO SUPERIOR A 37,5 W E DE PASSO INFERIOR OU IGUAL A 1,8#                                                                 @            1,00000@            4,70000@            172,30@             24,32@              0,02@          196,6443352@        1,00000@          196,6443352@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@DAP@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,
0000000766950000100001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@023@ALEMANHA            @023@ALEMANHA            @11@UNIDADE             @PEÇA                @A2C52095997 MOTOR ELÉTRICO DE CORRENTE CONTÍNUA, DE POTÊNCIA INFERIOR A 37,5W (0 ,134W) E PASSO INFERIOR A 1,8 GRAUS (0,056GRAUS), MODELO MW2000                                                                                                          @         9576,00000@          107,00000@           8172,77@           1707,91@              1,48@            0,8534647@     9576,00000@         8172,7779672@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,
